Number	Line1	Line2	Translation	mv	sp	mk	explanation	couplet	transliteration1	transliteration2
761	உறுப்பமைந்து ஊறஞ்சா வெல்படை வேந்தன்	வெறுக்கையுள் எல்லாம் தலை.	The daring well-armed winning force Is king's treasure and main resource	எல்லா உறுப்புக்களும் நிறைந்ததாய் இடையூறுகளுக்கு அஞ்சாததாய் உள்ள வெற்றி தரும் படை, அரசனுடைய செல்வங்கள் எல்லாவற்றிலும் சிறந்ததாகும்.	தரைப்படை, கப்பல் படை, விமானப்படை, காவல்துறை என நாட்டைக் காப்போர் பிரிவினால் நிறைந்து, போர்க்களத்தில் புண்பட அஞ்சாது, பகைவரை வெல்லும் படையே ஆட்சியாளரின் செல்வத்துள் எல்லாம் முதன்மையான செல்வம் ஆகும்.	எல்லா வகைகளும் நிறைந்ததாகவும், இடையூறுகளுக்கு அஞ்சாமல் போரிடக்கூடியதாகவும் உள்ள படை ஓர் அரசின் மிகச்சிறந்த செல்வமாகும்	The army which is complete in (its) parts and conquers without fear of wounds is the chief wealth of the king	A conquering host, complete in all its limbs, that fears no wound,Mid treasures of the king is chiefest found	Uruppamaindhu Ooranjaa Velpatai Vendhan	Verukkaiyul Ellaam Thalai
762	உலைவிடத்து ஊறஞ்சா வன்கண் தொலைவிடத்துத்	தொல்படைக் கல்லால் அரிது.	Through shots and wounds brave heroes hold Quailing not in fall, the field	போரில் அழிவு வந்தவிடத்தில் வலிமைக் குன்றினாலும், இடையூறுகளுக்கு அஞ்சாத அஞ்சாமை தொன்றுதொட்டுப் பெருமை உடையபடைக்கு அல்லாமல் முடியாது.	தம் அரசுக்கு ஓர் அபாயம் வரும்போது, தாம் எண்ணிக்கையில் குறைவாக இருந்தாலும்‌, தமக்கு ஏற்படும் அழிவிற்கு அஞ்சாது நின்று போரிடும் வீரம், பரம்பரை பரம்பரையாக வாழும் சொந்த நாட்டு மக்களுக்கே அன்றி, மற்றவர்க்கு வருவது கடினம்.	போரில் சேதமுற்று வலிமை குன்றியபோதும், எவ்வித இடையூறுகளுக்கும் அஞ்சாத நெஞ்சுறுதி, பழம்பெருமை கொண்ட படைக்கு அல்லாமல் வேறு எந்தப் படைக்கும் இருக்க முடியாது	Ancient army can alone have the valour which makes it stand by its king at the time of defeat, fearless of wounds and unmindful of its reduced strength	In adverse hour, to face undaunted might of conquering foe,Is bravery that only veteran host can show	Ulaivitaththu Ooranjaa Vankan Tholaivitaththuth	Tholpataik Kallaal Aridhu
763	ஒலித்தக்கால் என்னாம் உவரி எலிப்பகை	நாகம் உயிர்ப்பக் கெடும்.	Sea-like ratfoes roar What if? They perish at a cobra's whiff	எலியாகிய பகைக்கூடி கடல் போல் ஒலித்தாலும் என்ன தீங்கு ஏற்ப்படும், பாம்பு மூச்சு விட்ட அளவில் அவைக் கெட்டழியும்.	பாம்பென நிற்கும் சிறுபடை முன் கடல் என வீரர்கள் திரண்டிருந்தாலும், திரண்டவர்கள் மனத்தால் எலியாக இருந்தால் என்ன ஆகும்? பாம்பு மூச்சு விட்ட அளவிலேயே எலிப்படை அத்தனையும் அழியும்.	எலிகள் கூடி கடல்போல் முழங்கிப், பகையைக் கக்கினாலும், நாகத்தின் மூச்சொலிக்கு முன்னால் நிற்க முடியுமா? அதுபோலத்தான் வீரன் வெகுண்டு எழுந்தால் வீணர்கள் வீழந்துபடுவார்கள்	What if (a host of) hostile rats roar like the sea ? They will perish at the mere breath of the cobra	Though, like the sea, the angry mice send forth their battle cry;What then? The dragon breathes upon them, and they die	Oliththakkaal Ennaam Uvari Ela�ppakai	Naakam Uyirppak Ketum
764	அழிவின்றி அறைபோகா தாகி வழிவந்த	வன்க ணதுவே படை.	The army guards its genial flame Not crushed, routed nor marred in name	(போர் முனையில்) அழிவு இல்லாததாய்(பகைவருடைய) வஞ்சனைக்கு இரையாகாததாய், தொன்று தொட்டுவந்த அஞ்சாமை உடையதே படையாகும்.	போரில் தோற்காமலும், பகைவரின் சதிக்குத் துணை போகாமலும், தொன்று தொட்டு வரும் வீரத்தை உடையதே படை.	எந்த நிலையிலும் அழியாததும், சூழ்ச்சிக்கு இரையாகததும், பரம்பரையாகவே பயமற்ற உறுதி உடையதும்தான் உண்மையான படை எனப்படும்	That indeed is an army which has stood firm of old without suffering destruction or deserting (to the enemy)	That is a host, by no defeats, by no desertions shamed,For old hereditary courage famed	Azhivindri Araipokaa Thaaki Vazhivandha	Vanka Nadhuve Patai
765	கூற்றுடன்று மேல்வரினும் கூடி எதிர்நிற்கும்	ஆற்ற லதுவே படை.	The real army with rallied force Resists even Death-God fierce	எமனே சினங்கொண்டு தன் மேல் எதிர்த்து வந்தாலும் ஒன்றாகத் திரண்டு எதிர்த்து நிற்க்கும் ஆற்றல் உடையதே படையாகும்.	எமனே எதிர்த்து வந்தாலும், கூடி நின்று எதிர்த்துச் சண்டை இடும் ஆற்றலை உடையதே படை.	உயிரைப் பறிக்கும் சாவு எதிர்கொண்டு வந்தாலும் அஞ்சாமல் ஒன்றுபட்டு எதிர்த்து நிற்கும் ஆற்றல் உடையதற்கே படை என்ற பெயர் பொருந்தும்	That indeed is an army which is capable of offering a united resistance, even if Yama advances against it with fury	That is a 'host' that joins its ranks, and mightily withstands,Though death with sudden wrath should fall upon its bands	Kootrutandru Melvarinum Kooti Edhirnirkum	Aatra Ladhuve Patai
766	மறமானம் மாண்ட வழிச்செலவு தேற்றம்	எனநான்கே ஏமம் படைக்கு.	Manly army has merits four:- Stately-march, faith, honour, valour	வீரம், மானம், சிறந்த வழியில் நடக்கும் நடக்கை, தலைவரால் நம்பித் தெளியப்படுதல் ஆகிய இந்த நான்கு பண்புகளும் படைக்கு சிறந்தவையாகும்.	வீரம், மானம், நல்ல வழியில் நடத்தல், அரசி்ன நம்பிக்கைக்கு உரியது ஆதல் எனும் நான்கும் படைக்கு காவல் அரண்களாகும்.	வீரம், மான உணர்வு, முன்னோர் சென்ற வழி நடத்தல், தலைவனின் நம்பிக்கையைப் பெறுதல் ஆகிய நான்கும் படையைப் பாதுகாக்கும் பண்புகளாகும்	Valour, honour, following in the excellent-footsteps (of its predecessors) and trust-worthiness; these four alone constitute the safeguard of an army	Valour with honour, sure advance in glory's path, with confidence;To warlike host these four are sure defence	Maramaanam Maanta Vazhichchelavu Thetram	Enanaanke Emam Pataikku
767	தார்தாங்கிச் செல்வது தானை தலைவந்த	போர்தாங்கும் தன்மை அறிந்து.	Army sets on to face to foes Knowing how the trend of war goes	தன் மேல் எதிர்த்து வந்த பகைவரின் போரைத்தாங்கி, வெல்லும் தன்மை அறிந்து அவனுடைய தூசிப்படையை எதிர்த்துச் செல்லவல்லதே படையாகும்.	தன்மீது வந்த பகைவரின் போரைத் தடுக்கும் முறையை அறிந்து அவர்களில் முதலாவதாக வந்து சண்டையிடும் காலாட்படை ( தூசிப்படை, தேர்ப்படை, கொடிப்படை, முன்னணிச் சேனை என்றும் பெயர்) தன்மீது வராமல் தடுப்பதே படை.	களத்தில், முதலில் எதிர்கொள்ளும் போரைத் தாங்கித் தகர்க்கும் ஆற்றலை அறிந்திருப்பின், அதுவே வெற்றி மாலை தாங்கிச் செல்லக்கூடிய சிறந்த படையாகும்	That is an army which knowing the art of warding off an impending struggle, can bear against the dust-van (of a hostile force)	A valiant army bears the onslaught, onward goes,Well taught with marshalled ranks to meet their coming foes	Thaardhaangich Chelvadhu Thaanai Thalaivandha	Pordhaangum Thanmai Arindhu
768	அடல்தகையும் ஆற்றலும் இல்லெனினும் தானை	படைத்தகையால் பாடு பெறும்.	Army gains force by grand array Lacking in stay or dash in fray	போர் செய்யும் வீரமும்( எதிர்ப்பைத் தாங்கும்) ஆற்றலுமும் இல்லையானால் படைத்தன்னுடைய அணிவகுப்பால் பெருமை பெறும்.	பகைவர் மேல் சென்று வெல்லும் வீரமும், பகைவர் வந்தால் தடுக்கும் பயிற்சியும் ஆற்றலும் படைக்கு இல்லை என்றாலும், அது தன் கட்டுப்பாடான அணிவகுப்பின் காட்சி அழகால் பெருமை பெறும்.	போர் புரியும் வீரம், எதிர்த்து நிற்கும் வல்லமை ஆகிய இரண்டையும் விட ஒரு படையின் அணிவகுப்புத் தோற்றம் சிறப்புடையதாக அமைய வேண்டும்	Though destitute of courage to fight and strength (to endure), an army may yet gain renown by the splendour of its appearance	Though not in war offensive or defensive skilled;An army gains applause when well equipped and drilled	Ataldhakaiyum Aatralum Illeninum Thaanai	Pataiththakaiyaal Paatu Perum
769	சிறுமையும் செல்லாத் துனியும் வறுமையும்	இல்லாயின் வெல்லும் படை.	Army shall win if it is free From weakness, aversion, poverty	தன் அளவு சிறிதாகத் தேய்தலும், தலைவரிடம் நீங்காத வெறுப்பும் வறுமையும் இல்லாதிருக்குமானால் அத்தகைய படை வெற்றி பெறும்.	எண்ணிக்கையில் சிறுமை, அரசி்ன் மீது மனத்தை விட்டு விலகாத வெறுப்பு, வறுமை இவை எல்லாம் இல்லை என்றால் அந்தப் படை வெற்றி பெறும்.	சிறுத்துவிடாமலும், தலைவனை வெறுத்து விடாமலும், பயன்படாத நிலை இல்லாமலும் உள்ள படைதான் வெற்றி பெற முடியும்	An army can triumph (over its foes) if it is free from diminution; irremediable aversion and poverty	Where weakness, clinging fear and povertyAre not, the host will gain the victory	Sirumaiyum Sellaath Thuniyum Varumaiyum	Illaayin Vellum Patai
770	நிலைமக்கள் சால உடைத்தெனினும் தானை	தலைமக்கள் இல்வழி இல்.	With troops in large numbers on rolls Army can't march missing gen'rals	நெடுங்காலமாக நிலைத்திருக்கும் வீரர் பலரை உடையதே ஆனாலும், தலைமைதாங்கும் தலைவர் இல்லாத போது படைக்குப் பெருமை இல்லையாகும்.	சிறந்த வீரர்கள் அதிகம் இருந்தாலும், படைக்கு நல்ல தலைவன் இல்லை என்றால் அந்தப் படை போரில் நிலைத்து நிற்காது.	உறுதிவாய்ந்த வீரர்களை அதிகம் உடையதாக இருந்தாலும் தலைமை தாங்கும் தலைவர்கள் இல்லாவிட்டால் அந்தப் படை நிலைத்து நிற்க முடியாது	Though an army may contain a large number of permanent soldiers, it cannot last if it has no generals	Though men abound, all ready for the war,No army is where no fit leaders are	Nilaimakkal Saala Utaiththeninum Thaanai	Thalaimakkal Ilvazhi Il
771	என்னைமுன் நில்லன்மின் தெவ்விர் பலரென்னை	முன்நின்று கல்நின் றவர்.	Stand not before my chief, O foes! Many who stood, in stones repose	பகைவரே! என்னுடைய தலைவர் முன் எதிர்த்து நிற்காதீர்கள், என்னுடைய தலைவர் முன் எதிர்த்து நின்று கல்வடிவாய் நின்றவர் பலர்.	பகைவர்கேள! என் அரசின் முன்னே போரிட நிற்காதீர்; உங்களைப் போலவே இதற்கு முன்பு பலர் நின்றனர்; எல்லாம் மறைந்து இப்போது நடுகல்லில் சிலையாக நிற்கின்றனர்.	போர்களத்து வீரன் ஒருவன், ``பகைவயர்களே என் தலைவனை எதிர்த்து நிற்காதீர்; அவனை எதிர்த்து நடுகல்லாய்ப் போனவர்கள் பலர்'' என முழங்குகிறான்	O my foes, stand not before my leader; (for) many are those who did so but afterwards stood (in the shape of) statues	Ye foes stand not before my lord for many a oneWho did my lord withstand, now stands in stone	Ennaimun Nillanmin Thevvir Palarennai	Munnindru Kalnin Ravar
772	கான முயலெய்த அம்பினில் யானை	பிழைத்தவேல் ஏந்தல் இனிது.	To lift a lance that missed a tusker Is prouder than shaft that hit a hare	காட்டில் ஓடுகின்ற முயலை நோக்கி குறிதவறாமல் எய்த அம்பை ஏந்துதலைவிட, வெட்ட வெளியில் நின்ற யானை மேல் எறிந்து தவறிய வேலை ஏந்துதல் சிறந்தது.	காட்டில் அஞ்சி ஓடும் முயலைக் கொன்ற அம்பைப் பிடித்திருப்பதை விட, எதிர்த்து வரும் யானையின் மீது பட்டும், அதை வீழ்த்தாத வேலைப் பிடித்திருப்பது நல்லது.	வலிவு மிகுந்த யானைக்குக் குறிவைத்து, அந்தக் குறிதப்பினாலும்கூட அது, வலிவற்ற முயலுக்குக் குறிவைத்து அதனை வீழ்த்துவதைக் காட்டிலும் சிறப்புடையது	It is more pleasant to hold the dart that has missed an elephant than that which has hit hare in the forest	Who aims at elephant, though dart should fail, has greater praiseThan he who woodland hare with winged arrow slays	Kaana Muyaleydha Ampinil Yaanai	Pizhaiththavel Endhal Inidhu
773	பேராண்மை என்ப தறுகண்ஒன் றுற்றக்கால்	ஊராண்மை மற்றதன் எஃகு.	Valour is fight with fierce courage Mercy to the fallen is its edge	பகைவரை எதிர்த்து நிற்க்கும் வீரத்தை மிக்க ஆண்மை என்று கூறுவர், ஒரு துன்பம் வந்த போது பகைவர்க்கும் உதவிச் செய்தலை அந்த ஆண்மையின் கூர்மை என்று கூறுவர்.	பகைவர் மீது இரக்கம் காட்டாமல் இருப்பதை மிகுந்த ஆண்மை என்பர்; ஆனால், அந்தப் பகைவர்க்கு ஒரு தாழ்வு வரும்போது அவர் மீது இரக்கம் கொண்டு, அவர் தாழ்ச்சியைப் போக்க உதவுவது ஆளுமையை மேலும் சிறப்பிக்கும்.	பகைவர்க்கு அஞ்சாத வீரம் பெரும் ஆண்மை என்று போற்றப்படும் அந்தப் பகைவர்க்கு ஒரு துன்பம் வரும்போது அதைத் தீர்க்க உதவிடுவது ஆண்மையின் உச்சம் எனப் புகழப்படும்	The learned say that fierceness (incontest with a foe) is indeed great valour; but to become a benefactor in case of accident (to a foe) is the extreme (limit) of that valour	Fierceness in hour of strife heroic greatness shows;Its edge is kindness to our suffering foes	Peraanmai Enpa Tharukanon Rutrakkaal	Ooraanmai Matradhan Eqku
774	கைவேல் களிற்றொடு போக்கி வருபவன்	மெய்வேல் பறியா நகும்.	At the tusker he flings his lance One in body smiles another chance	கையில் ஏந்திய வேலை ஒரு யானையின் மேல் எறிந்து துரத்திவிட்டு, வேறு வேல் தேடி வருகின்றவன் தன் மார்பில் பட்டிருந்த வேலைக் கண்டு பறித்து மகிழ்கின்றான்.	தன்னை எதிர்த்து வந்த யானையின் மீது தன் கையிலிருந்த வேலை எறிந்து விட்டவன், அடுத்து வருகி்ன்ற யானை மீது எறிவதற்காகத் தன் மார்பில் பதிந்து நின்ற வேலைப் பறித்துக் கொண்டே மகிழ்வான்.	கையிலிருந்த வேலினை யானையின் மீது வீசி விட்டதால் களத்தில் போரினைத் தொடர வேறு வேல் தேடுகிற வீரன், தன் மார்பின்மீதே ஒரு வேல் பாயந்திருப்பது கண்டு மகிழ்ந்து அதனைப் பறித்துப் பகையை எதிர்த்திடுகின்றான்	The hero who after casting the lance in his hand on an elephant, comes (in search of another) will pluck the one (that sticks) in his body and laugh (exultingly)	At elephant he hurls the dart in hand; for weapon pressed,He laughs and plucks the javelin from his wounded breast	Kaivel Kalitrotu Pokki Varupavan	Meyvel Pariyaa Nakum
775	விழித்தகண் வேல்கொண டெறிய அழித்திமைப்பின்	ஒட்டன்றோ வன்க ணவர்க்கு.	When lances dart if heroes wink \It is a rout\ the world will think	பகைவரை சினந்து நோக்கியக் கண், அவர் வேலைக் கொண்டு எறிந்த போது மூடி இமைக்குமானால், அது வீரமுடையவர்க்குத் தோல்வி அன்றோ.	பகைவரைச் சினந்து பார்க்கும் கண், அவர்கள் எறியும் வேலைப் பார்த்து மூடித் திறந்தாலும், சிறந்த வீரர்க்கு அதுவே புறங் கொடுத்தலாகும்.	களத்தில் பகைவர் வீசிடும் வேல் பாயும்போது விழிகளை இமைத்து விட்டால்கூட அது புறமுதுகுகாட்டி ஓடுவதற்குஒப்பாகும்	Is it not a defeat to the valiant to wink and destroy their ferocious look when a lance in cast at them (by their foe) ?	To hero fearless must it not defeat appear,If he but wink his eye when foemen hurls his spear	Vizhiththakan Velkona Teriya Azhiththimaippin	Ottandro Vanka Navarkku
776	விழுப்புண் படாதநாள் எல்லாம் வழுக்கினுள்	வைக்கும்தன் நாளை எடுத்து.	The brave shall deem the days as vain Which did not battle-wounds sustain	வீரன் தன் கழிந்த நாட்களைக் கணக்கிட்டு, விழுப்புண் படாத நாட்களை எல்லாம் பயன் படாமல் தவறிய நாட்களுள் சேர்ப்பான்.	ஒரு வீரன் தன் கடந்த நாள்களை எண்ணி எடுத்து, அவற்றுள் முகத்திலும் மார்பிலும் போரின்போது புண்படாத நாள்களைப் பயனில்லாமல் கழிந்த நாள்களாகக் கருதுவான்	ஒரு வீரன், தான் வாழ்ந்த நாட்களைக் கணக்குப் பார்த்து அந்த நாட்களில் தன்னுடலில் விழுப்புண்படாத நாட்களையெல்லாம் வீணான நாட்கள் என்று வெறுத்து ஒதுக்குவான்	The hero will reckon among wasted days all those on which he had not received severe wounds	The heroes, counting up their days, set down as vainEach day when they no glorious wound sustain	Vizhuppun Pataadhanaal Ellaam Vazhukkinul	Vaikkumdhan Naalai Etuththu
777	சுழலும் இசைவேண்டி வேண்டா உயிரார்	கழல்யாப்புக் காரிகை நீர்த்து.	Their anklets aloud jingle their name Who sacrifice their life for fame	பரந்து நிற்க்கும் புகழை விரும்பி, உயிர்வாழ்வையும் விரும்பாத வீரர், வீரக் கழலை காலில் கட்டிக்கொள்ளுதல் அழகு செய்யும் தன்மையுடையதாகும்.	தம்முடன் சொர்க்கத்திற்கு வராது பூமியில் மட்டு் நிலைத்து நிற்கும் புகழை விரும்பி, உயிரையும் விரும்பாத வீரர், தம் கால்களில் வீரக்கழலைக் கட்டுவது அவர்க்கு அழகே.	சூழ்ந்து பரவிடும் புகழை மட்டுமே விரும்பி உயிரைப் பற்றிக் கவலைப்படாத வீரர்களின் காலில் கட்டப்படும் வீரக்கழல் தனிப் பெருமை உடையதாகும்	The fastening of ankle-ring by those who disire a world-wide renown and not (the safety of) their lives is like adorning (themselves)	Who seek for world-wide fame, regardless of their life,The glorious clasp adorns, sign of heroic strife	Suzhalum Isaiventi Ventaa Uyiraar	Kazhalyaappuk Kaarikai Neerththu
778	உறின்உயிர் அஞ்சா மறவர் இறைவன்	செறினும் சீர்குன்றல் இலர்.	The king may chide, they pursue strife; They fear loss of glory; not life	போர்வந்தால் உயிரின் பொருட்டு அஞ்சாமல் போர் செய்யத் துணியும் வீரர், அரசன் சினந்தாலும் தம்முடைய சிறப்புக் குன்றாதவர் ஆவர்.	போர் வந்தால் தம் உயிர்க்கு அஞ்சாது செல்லும் வீரர், அப்போரை வேண்டா என்று அரசு சினந்து தடுத்தாலும், தம் வீரத்தில் குறைய மாட்டார்.	தலைவன் சினந்தாலும் சிறப்புக் குறையாமல் கடமை ஆற்றுபவர்கள்தான், போர்களத்தில் உயிரைப் பற்றிக் கலங்காத வீர மறவர்கள் எனப் போற்றப்படுவர்	The heroes who are not afraid of losing their life in a contest will not cool their ardour, even if the king prohibits (their fighting)	Fearless they rush where'er 'the tide of battle rolls';The king's reproof damps not the ardour of their eager souls	Urinuyir Anjaa Maravar Iraivan	Serinum Seerkundral Ilar
779	இழைத்தது இகவாமைச் சாவாரை யாரே	பிழைத்தது ஒறுக்கிற் பவர்.	Who will blame the heroes that lose Their lives in war to keep their vows?	தாம் உரைத்த சூள் தவராத படி போர் செய்து சாக வல்லவரை, அவர் செய்தப் பிழைக்காக தண்டிக்க வல்லவர் யார்.	தாம் சொன்ன சபதம் நிறைவேறாமல் போனாலும், அதற்காகவே போர்க் களத்தில் தோற்றவர் என்று எவர் இகழ்ந்து பேசுவார்?	சபதம் செய்தவாறு களத்தில் சாவதற்குத் துணிந்த வீரனை யாராவது இழித்துப் பேச முடியுமா? முடியாது	Who would reproach with failure those who seal their oath with their death ?	Who says they err, and visits them scorn,Who die and faithful guard the vow they've sworn	Izhaiththadhu Ikavaamaich Chaavaarai Yaare	Pizhaiththadhu Orukkir Pavar
780	புரந்தார்கண் நீர்மல்கச் சாகிற்பின் சாக்காடு	இரந்துகோள் தக்கது உடைத்து.	Such a death shall be prayed for Which draws the the tears of the ruler	தம்மைக் காத்த தலைவருடைய கண்கள் நீர் பெருக்குமாறு சாகப் பெற்றால், சாவு இரந்தாவது பெற்றுக் கொள்ளத் தக்க பெருமை உடையதாகும்.	வீரர்களின் வீரச்செயலை எல்லாம் எண்ணிப் பார்க்கும் கண்களோடு ஆட்சியாளர் நிற்க, அந்தப்போரில் சாகும் வாய்ப்பைப் பெற்றவரின் சாவு, பிறரிடம் கேட்டுப் பெறத்தக்க சிறப்பினை உடையது.	தன்னைக் காத்த தலைவனுடைய கண்களில் நீர் பெருகுமாறு வீரமரணம் அடைந்தால், அத்தகைய மரணத்தை யாசித்தாவது பெற்றுக் கொள்வதில் பெருமை உண்டு	If (heroes) can so die as to fill with tears the eyes of their rulers, such a death deserves to be obtained even by begging	If monarch's eyes o'erflow with tears for hero slain,Who would not beg such boon of glorious death to gain	Purandhaarkan Neermalkach Chaakirpin Saakkaatu	Irandhukol Thakkadhu Utaiththu
781	செயற்கரிய யாவுள நட்பின் அதுபோல்	வினைக்கரிய யாவுள காப்பு.	Like friendship what's so hard to gain? That guards one against acts villain?	நட்பைப்போல் செய்து கொள்வதற்கு அருமையானவை எவை உள்ளன, அதுபோல் தொழிலுக்கு அரிய காவலாக இருப்பவை எவை உள்ளன.	சம்பாதிப்பதற்கு நட்பைப் போல அரிய பொருள் வேறு எவை உண்டு? அதைச் சம்பாதித்து விட்டால் பிறர் புக முடியாதபடி நம்மைக் காப்பதற்கு அரிய பொருள் வேறு எவை உண்டு?	நட்புக் கொள்வது போன்ற அரிய செயல் இல்லை அதுபோல் பாதுகாப்புக்கு ஏற்ற செயலும் வேறொன்றில்லை	What so sure defence 'gainst all that foe can do?	What so hard for men to gain as friendship trueWhat so sure defence 'gainst all that foe can do	Seyarkariya Yaavula Natpin Adhupol	Vinaikkariya Yaavula Kaappu
782	நிறைநீர நீரவர் கேண்மை பிறைமதிப்	பின்னீர பேதையார் நட்பு.	Good friendship shines like waxing moon, The bad withers like waning moon	அறிவுடையவரின் நட்பு பிறை நிறைந்து வருதல் போன்ற தன்மையுடையது, அறிவில்லாதவரின் நட்பு முழுமதி தேய்ந்து பின் செல்லுதல் போன்ற தன்மையுடையன.	பிறை, நாளும் வளர்வதுபோல, அறிவுடையார் நட்பு வளரும்; முழு நிலவு தேய்வது போலப் பேதைகளின் நட்பு தேயும்.	அறிவுள்ளவர்களுடன் கொள்ளும் நட்பு பிறைநிலவாகத் தொடங்கி முழுநிலவாக வளரும், அறிவில்லாதவர்களுடன் கொள்ளும் நட்போ முழுமதிபோல் முளைத்துப் பின்னர் தேய்பிறையாகக் குறைந்து மறைந்து போகும்	The friendship of the wise waxes like the new moon; (but) that of fools wanes like the full moon	Friendship with men fulfilled of good Waxes like the crescent moon;Friendship with men of foolish mood, Like the full orb, waneth soon	Niraineera Neeravar Kenmai Piraimadhip	Pinneera Pedhaiyaar Natpu
783	நவில்தொறும் நூல்நயம் போலும் பயில்தொறும்	பண்புடை யாளர் தொடர்பு.	Like taste in books good friendship grows The more one moves the more he knows	பழகப் பழக நற்பண்பு உடையவரின் நட்பு இன்பம் தருதல், நூலின் நற்பொருள் கற்கக் கற்க மேன்மேலும் இன்பம் தருதலைப் போன்றதாகும்.	படிக்கும்போது எல்லாம் மகிழ்ச்சி தரும் நூலின் இன்பம் போல நல்ல குணமுள்ளவரோடு கொண்ட நட்பு அவரோடு பழகும் போதெல்லாம் மகிழ்ச்சி தரும்.	படிக்கப் படிக்க இன்பம் தரும் நூலின் சிறப்பைப் போல் பழகப் பழக இன்பம் தரக்கூடியது பண்புடையாளர்களின் நட்பு	Like learning, the friendship of the noble, the more it is cultivated, the more delightful does it become	Learned scroll the more you ponder, Sweeter grows the mental food;So the heart by use grows fonder, Bound in friendship with the good	Navildhorum Noolnayam Polum Payildhorum	Panputai Yaalar Thotarpu
784	நகுதற் பொருட்டன்று நட்டல் மிகுதிக்கண்	மேற்செனறு இடித்தற் பொருட்டு.	Not to laugh is friendship made But to hit when faults exceed	நட்புச் செய்தல் ஒருவரோடு ஒருவர் சிரித்து மகிழும் பொருட்டு அன்று, நண்பர் நெறிக்கடந்து செல்லும் போது முற்ப்பட்டுச் சென்று இடித்துரைப்பதற்காகும்.	ஒருவனோடு நட்புக் கொள்வது சிரித்து மகிழ மட்டும் அன்று; நண்பனிடம் வேண்டாத செயல் இருக்கக் கண்டபோது விரைந்து கண்டித்துப் புத்தி சொல்வதற்கும் ஆம்.	நட்பு என்பது சிரித்து மகிழ்வதற்காக அல்ல; நண்பர்கள் நல்வழி தவறிச் செல்லும்பொழுது இடித்துரைத்துத் திருத்துவதற்காகும்	Friendship is to be practised not for the purpose of laughing but for that of being beforehand in giving one another sharp rebukes in case of transgression	Nor for laughter only friendship all the pleasant day,But for strokes of sharp reproving, when from right you stray	Nakudhar Poruttandru Nattal Mikudhikkan	Mersenaru Itiththar Poruttu
785	புணர்ச்சி பழகுதல் வேண்டா உணர்ச்சிதான்	நட்பாங் கிழமை தரும்.	No close living nor clasping grip Friendship's feeling heart's fellowship	நட்புச் செய்வதற்குத் தொடர்பும் பழக்கமும் வேண்டியதில்லை, ஒத்த உணர்ச்சியே நட்பு ஏற்படுத்துவதற்கு வேண்டிய உரிமையைக் கொடுக்கும்.	ஒருவனோடு ஒருவன் நட்புக் கொள்வதற்கு அருகருகே இருப்பதோ, நெருங்கிப் பழகுவதோ வேண்டியதில்ல. இருவரது எண்ணமும் ஒத்திருந்தால் அதுவே நட்பு என்னும் தோழமையைக் கொடுக்கும்.	இருவருக்கிடையே நட்புரிமை முகிழ்ப்பதற்கு ஏற்கனவே தொடர்பும் பழக்கமும் வேண்டுமென்பதில்லை இருவரின் ஒத்த மன உணர்வே போதுமானது	Living together and holding frequent intercourse are not necessary (for friendship); (mutual) understanding can alone create a claim for it	Not association constant, not affection's token bind;'Tis the unison of feeling friends unites of kindred mind	Punarchchi Pazhakudhal Ventaa Unarchchidhaan	Natpaang Kizhamai Tharum
786	முகநக நட்பது நட்பன்று நெஞ்சத்து	அகநக நட்பது நட்பு.	Friendship is not more smile on face It is the smiling heart's embrace	முகம் மட்டும் மலரும் படியா நட்பு செய்வது நட்பு அன்று, நெஞ்சமும் மலரும் படியாக உள்ளன்பு கொண்டு நட்பு செய்வதே நட்பு ஆகும்.	பார்க்கும்போது மனம் மகிழாமல், முகம் மட்டுமே மலரப் பழகுவது நட்பு அன்று. அன்பால் மனமும் மலரப் பழகுவதே நட்பு.	இன்முகம் காட்டுவது மட்டும் நட்புக்கு அடையாளமல்ல; இதயமார நேசிப்பதே உண்மையான நட்பாகும்	The love that dwells (merely in the smiles of the face is not friendship; (but) that which dwells deep in the smiles of the heart is true friendship	Not the face's smile of welcome shows the friend sincere,But the heart's rejoicing gladness when the friend is near	Mukanaka Natpadhu Natpandru Nenjaththu	Akanaka Natpadhu Natpu
787	அழிவி னவைநீக்கி ஆறுய்த்து அழிவின்கண்	அல்லல் உழப்பதாம் நட்பு.	From ruin friendship saves and shares The load of pain and right path shows	அழிவைத் தரும் தீமைகளிலிருந்து நீக்கி, நல்ல வழியில் நடக்கச் செய்து, அழிவுவந்த காலத்தில் உடனிருந்து துன்பப்படுவதே நட்பாகும்.	அழிவு தரும் வழிகளில் நண்பன் சென்றால் தடுத்து, நல்ல வழியில் அவனைச் செலுத்தி அவனுக்குக் கேடு வரும் என்றால் அதை அவனுடன் பகிர்வது நட்பு.	நண்பனைத் தீயவழி சென்று கெட்டுவிடாமல் தடுத்து, அவனை நல்வழியில் நடக்கச் செய்து, அவனுக்குத் தீங்கு வருங்காலத்தில் அந்தத் தீங்கின் துன்பத்தைப் பகிர்ந்து கொள்வதே உண்மையான நட்பாகும்	(True) friendship turns aside from evil (ways) makes (him) walk in the (good) way, and, in case of loss if shares his sorrow (with him)	Friendship from ruin saves, in way of virtue keeps;In troublous time, it weeps with him who weeps	Azhivi Navaineekki Aaruyththu Azhivinkan	Allal Uzhappadhaam Natpu
